time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,0.595966883483,0.5959672275,10.5960798824,6.28265249498,6.28289630381,0.0,9.86611189277,9.86609579021,9.87046367651,-0.039920559058,-0.0168038041842,0.0,457.147834426975,455.80636926094485,457.45965955611746,454.2682876197743
0.12000000000000001,1.18401674388,1.18398725191,11.1837643089,6.28089927599,6.28237919698,0.0,9.73613910291,9.73487982626,9.72039468516,-0.0135972566362,0.00410817629672,0.0,446.2775502686161,447.98206822405086,446.4799030747665,448.62297660451236
0.18,1.76437912062,1.76420080597,11.764987822,6.28005683147,6.28251658148,0.0,9.60974353525,9.60597881178,9.65434789998,-0.0149427792922,-0.00162097149735,0.0,470.95180202787145,470.50823339336637,470.28132848554895,470.1771785020737
0.23999999999999996,2.33725130205,2.33677458526,12.3381981634,6.27915478056,6.28263203648,0.0,9.48646877739,9.48021059712,9.45439759141,-0.0152176092953,0.00820983331764,0.0,426.7198797543015,427.55861870352436,426.95289403073707,426.92952976306435
0.3,2.90281810952,2.9018653052,12.9036008497,6.27839982723,0.000799662195043,0.0,9.36609909062,9.3565216928,9.39297370347,-0.00777420651864,0.0418146729018,0.0,465.41769560373876,468.0415190775874,467.3752964052756,467.95542455951625
0.36000000000000004,3.46121532503,3.45961046197,13.4659535013,6.27793361323,0.0031389117674,0.0,9.24730339028,9.23538331791,9.35261130879,-0.0077622878767,0.0326319291068,0.0,472.429336767289,471.7211404169674,472.42117803377346,472.42221754083204
0.4200000000000001,4.01251972994,4.01016471245,14.026460058,6.27703143249,0.00507722051106,0.0,9.12971443155,9.11679125779,9.33125671392,-0.0364340875897,0.0316435600646,0.0,476.54185622631064,476.4665798298902,478.52541018147156,476.337037681179
0.48000000000000015,4.55680228305,4.55365466077,14.5869244122,6.274337403,0.007746445731,0.0,9.01317053634,8.99967905042,9.35098660407,-0.0729170293326,0.0623243828209,0.0,487.126245779646,489.4168102557578,489.6550305022015,486.9310924819096
0.5400000000000001,5.09412652506,5.09015238408,15.1458926408,6.27038578862,0.0115116987569,0.0,8.89763570056,8.88353422765,9.28226547117,-0.0545606683054,0.0635999376884,0.0,461.81535208642066,461.91867414633214,460.6128193241651,462.0596191191947
0.6000000000000002,5.62453785705,5.61970429506,15.6991670854,6.26754078183,0.0160074870008,0.0,8.78271305009,8.76828815411,9.16154349111,-0.0360030039976,0.0912214914764,0.0,443.23663159999836,445.5059523302808,441.75627513497983,443.2830314818754
0.6600000000000003,6.14802942848,6.14236095904,16.2458364823,6.26536621635,0.0218392680006,0.0,8.66681183666,8.65376847677,9.06192567276,-0.0367265202758,0.107050149095,0.0,446.79184921045737,448.0888800932141,447.3466321062135,447.2871101796426
0.7200000000000003,6.66456840684,6.65821726253,16.7846825538,6.26323289681,0.0282838971758,0.0,8.55092979274,8.54161169337,8.90122958216,-0.0333106720967,0.108120989184,0.0,424.58347740068996,424.6860938082663,425.52751261993876,425.81932467330114
0.7800000000000004,7.17394206907,7.16726540356,17.3198211967,6.26150206048,0.0351194035136,0.0,8.42779418349,8.42682651239,8.93683001394,-0.0211534014434,0.123542233535,0.0,482.31171934602907,483.48568222082355,482.44559497817204,483.36275926381666
0.8400000000000004,7.67599090132,7.66955920904,17.852973716,6.26181585476,0.0426134550071,0.0,8.30679629028,8.31664114357,8.83598182535,0.0332933355117,0.127485837608,0.0,441.5360110410327,441.8756237190849,438.12402272489805,442.62935438610486
0.9000000000000005,8.17051453418,8.16524185736,18.3845604654,6.26328035516,0.0498445886993,0.0,8.17683944384,8.20671910849,8.88343385921,-0.00666573401354,0.100560807218,0.0,485.00600015830923,482.99034474367767,486.0844911659126,483.0798240555907
0.9600000000000005,8.65718750864,8.65444126013,18.9183796108,6.26338865144,0.0556194064878,0.0,8.04532098661,8.10026958221,8.91055500472,0.0148791230805,0.0858145430669,0.0,480.0014457505382,478.88778439594284,476.90187963169825,478.5452068760188
1.0200000000000005,9.13602087636,9.13736681984,19.4520712513,6.26402552878,0.0612272305634,0.0,7.91560880611,7.99767115747,8.87953954523,0.000318830513535,0.105517542135,0.0,460.2456525565645,461.8098341079395,461.87947680129025,460.7292300064171
1.0800000000000005,9.60709932449,9.61423676923,19.9827939832,6.26399714619,0.0678061883046,0.0,7.7867218867,7.89830887925,8.81191867635,-0.00210593871772,0.116838209871,0.0,447.6342962451708,448.56532577857774,449.9423317415059,449.74592611043505
1.1400000000000006,10.070546421,10.0852527745,20.5072246575,6.26407414281,0.0748043854069,0.0,7.66121626301,7.80251744521,8.67032838452,0.0073215623704,0.116230742525,0.0,423.18799703990175,423.1486157623059,423.471061768326,424.2815128818187
1.2000000000000006,10.52608511,10.5505042128,21.0275697753,6.26449189268,0.0815946158094,0.0,7.52305055389,7.70621730524,8.67465397931,0.00623449256914,0.106221147337,0.0,467.03010939967,466.2591792929254,468.01733751101733,467.9325823952081
1.2600000000000007,10.9734419151,11.0100871271,21.5460934734,6.26456909614,0.0878734230284,0.0,7.38858233017,7.61352383565,8.61007000263,-0.0111192464746,0.101298901381,0.0,445.94202394752426,445.5491474277251,446.3775845273556,444.95870431260147
1.3200000000000007,11.4127831112,11.4641845892,22.0597044782,6.26370980619,0.0941135723461,0.0,7.25589102382,7.52325395705,8.51114656658,-0.0216498840979,0.108921273197,0.0,432.6458837149896,433.2970881243867,434.2157806343243,433.3312545183558
